Month,MonthlyRainfall_mm,RainyDays,MaxDailyRainfall_mm,MaxDailyRainfallDateTime,Year,Station,StationCode
4,201.0,13,55.0,2016/04/13 00:00:00,2016,Taipei,C1AC50
5,157.5,12,84.5,2016/05/16 00:00:00,2016,Taipei,C1AC50
6,323.5,12,119.5,2016/06/02 00:00:00,2016,Taipei,C1AC50
7,169.0,10,50.5,2016/07/11 00:00:00,2016,Taipei,C1AC50
8,57.5,8,17.0,2016/08/27 00:00:00,2016,Taipei,C1AC50
9,383.0,14,162.0,2016/09/27 00:00:00,2016,Taipei,C1AC50
10,86.0,9,31.0,2016/10/15 00:00:00,2016,Taipei,C1AC50
11,110.0,9,39.0,2016/11/23 00:00:00,2016,Taipei,C1AC50
12,3.5,2,2.0,2016/12/22 00:00:00,2016,Taipei,C1AC50
1,29.5,7,14.5,2017/01/13 00:00:00,2017,Taipei,C1AC50
2,109.5,8,31.0,2017/02/24 00:00:00,2017,Taipei,C1AC50
3,139.5,18,30.5,2017/03/10 00:00:00,2017,Taipei,C1AC50
4,103.5,12,19.5,2017/04/11 00:00:00,2017,Taipei,C1AC50
5,148.0,11,60.5,2017/05/15 00:00:00,2017,Taipei,C1AC50
6,744.5,13,267.0,2017/06/02 00:00:00,2017,Taipei,C1AC50
7,108.0,6,68.5,2017/07/07 00:00:00,2017,Taipei,C1AC50
8,36.5,5,22.5,2017/08/27 00:00:00,2017,Taipei,C1AC50
9,128.0,9,69.0,2017/09/03 00:00:00,2017,Taipei,C1AC50
10,173.0,18,39.5,2017/10/14 00:00:00,2017,Taipei,C1AC50
11,93.0,15,29.0,2017/11/13 00:00:00,2017,Taipei,C1AC50
12,38.5,13,13.5,2017/12/07 00:00:00,2017,Taipei,C1AC50
1,23.0,5,8.0,2015/01/27 00:00:00,2015,Taipei,C1AC50
2,43.0,9,24.0,2015/02/24 00:00:00,2015,Taipei,C1AC50
3,170.0,11,42.5,2015/03/23 00:00:00,2015,Taipei,C1AC50
4,89.0,9,20.5,2015/04/21 00:00:00,2015,Taipei,C1AC50
5,281.0,13,71.5,2015/05/20 00:00:00,2015,Taipei,C1AC50
6,44.0,5,19.0,2015/06/24 00:00:00,2015,Taipei,C1AC50
7,221.5,8,81.0,2015/07/10 00:00:00,2015,Taipei,C1AC50
8,433.5,16,234.0,2015/08/08 00:00:00,2015,Taipei,C1AC50
9,408.5,8,281.0,2015/09/28 00:00:00,2015,Taipei,C1AC50
10,41.5,9,26.5,2015/10/09 00:00:00,2015,Taipei,C1AC50
11,8.0,5,4.0,2015/11/11 00:00:00,2015,Taipei,C1AC50
12,67.0,11,17.0,2015/12/10 00:00:00,2015,Taipei,C1AC50
1,18.0,5,13.5,2014/01/14 00:00:00,2014,Taipei,C1AC50
2,179.0,12,75.5,2014/02/09 00:00:00,2014,Taipei,C1AC50
3,104.5,15,12.0,2014/03/08 00:00:00,2014,Taipei,C1AC50
4,92.5,10,38.0,2014/04/24 00:00:00,2014,Taipei,C1AC50
5,560.0,21,136.0,2014/05/21 00:00:00,2014,Taipei,C1AC50
6,168.0,16,46.5,2014/06/05 00:00:00,2014,Taipei,C1AC50
7,131.5,8,43.5,2014/07/31 00:00:00,2014,Taipei,C1AC50
8,119.0,5,76.5,2014/08/19 00:00:00,2014,Taipei,C1AC50
9,97.0,4,50.5,2014/09/21 00:00:00,2014,Taipei,C1AC50
10,176.5,9,136.5,2014/10/10 00:00:00,2014,Taipei,C1AC50
11,58.5,7,27.5,2014/11/09 00:00:00,2014,Taipei,C1AC50
12,58.5,12,21.5,2014/12/04 00:00:00,2014,Taipei,C1AC50
1,38.0,8,14.0,2019/01/16 00:00:00,2019,Taipei,C1AC50
2,68.0,7,59.0,2019/02/24 00:00:00,2019,Taipei,C1AC50
3,179.5,15,40.5,2019/03/09 00:00:00,2019,Taipei,C1AC50
4,116.5,13,38.5,2019/04/21 00:00:00,2019,Taipei,C1AC50
5,407.5,14,211.5,2019/05/20 00:00:00,2019,Taipei,C1AC50
